Node Type,Node,Node Interface,Peer Type,Peer Node,Peer Interface,Node Interface Enabled
spine,AS-SPINE2,Ethernet6,l3leaf,AS-BL2,Ethernet2,True
l3leaf,SJ-BL1,Ethernet1,spine,SJ-SPINE1,Ethernet5,True
l3leaf,SJ-BL1,Ethernet2,spine,SJ-SPINE2,Ethernet5,True
l3leaf,SJ-BL1,Ethernet3,mlag_peer,SJ-BL2,Ethernet3,True
l3leaf,SJ-BL1,Ethernet4,mlag_peer,SJ-BL2,Ethernet4,True
l3leaf,SJ-BL1,Ethernet5,network_port,To DCI Switches,,True
l3leaf,SJ-BL2,Ethernet1,spine,SJ-SPINE1,Ethernet6,True
l3leaf,SJ-BL2,Ethernet2,spine,SJ-SPINE2,Ethernet6,True
l3leaf,SJ-BL2,Ethernet3,mlag_peer,SJ-BL1,Ethernet3,True
l3leaf,SJ-BL2,Ethernet4,mlag_peer,SJ-BL1,Ethernet4,True
l3leaf,SJ-BL2,Ethernet5,network_port,To DCI Switches,,True
l3leaf,SJ-LEAF1,Ethernet1,spine,SJ-SPINE1,Ethernet1,True
l3leaf,SJ-LEAF1,Ethernet2,spine,SJ-SPINE2,Ethernet1,True
l3leaf,SJ-LEAF1,Ethernet3,mlag_peer,SJ-LEAF2,Ethernet3,True
l3leaf,SJ-LEAF1,Ethernet4,mlag_peer,SJ-LEAF2,Ethernet4,True
l3leaf,SJ-LEAF1,Ethernet6,server,endpoint30,G1/0/1,True
l3leaf,SJ-LEAF2,Ethernet1,spine,SJ-SPINE1,Ethernet2,True
l3leaf,SJ-LEAF2,Ethernet2,spine,SJ-SPINE2,Ethernet2,True
l3leaf,SJ-LEAF2,Ethernet3,mlag_peer,SJ-LEAF1,Ethernet3,True
l3leaf,SJ-LEAF2,Ethernet4,mlag_peer,SJ-LEAF1,Ethernet4,True
l3leaf,SJ-LEAF2,Ethernet6,server,endpoint30,G1/0/2,True
l3leaf,SJ-LEAF3,Ethernet1,spine,SJ-SPINE1,Ethernet3,True
l3leaf,SJ-LEAF3,Ethernet2,spine,SJ-SPINE2,Ethernet3,True
l3leaf,SJ-LEAF3,Ethernet3,mlag_peer,SJ-LEAF4,Ethernet3,True
l3leaf,SJ-LEAF3,Ethernet4,mlag_peer,SJ-LEAF4,Ethernet4,True
l3leaf,SJ-LEAF3,Ethernet6,server,endpoint31,G1/0/2,True
l3leaf,SJ-LEAF4,Ethernet1,spine,SJ-SPINE1,Ethernet4,True
l3leaf,SJ-LEAF4,Ethernet2,spine,SJ-SPINE2,Ethernet4,True
l3leaf,SJ-LEAF4,Ethernet3,mlag_peer,SJ-LEAF3,Ethernet3,True
l3leaf,SJ-LEAF4,Ethernet4,mlag_peer,SJ-LEAF3,Ethernet4,True
spine,SJ-SPINE1,Ethernet1,l3leaf,SJ-LEAF1,Ethernet1,True
spine,SJ-SPINE1,Ethernet2,l3leaf,SJ-LEAF2,Ethernet1,True
spine,SJ-SPINE1,Ethernet3,l3leaf,SJ-LEAF3,Ethernet1,True
spine,SJ-SPINE1,Ethernet4,l3leaf,SJ-LEAF4,Ethernet1,True
spine,SJ-SPINE1,Ethernet5,l3leaf,SJ-BL1,Ethernet1,True
spine,SJ-SPINE1,Ethernet6,l3leaf,SJ-BL2,Ethernet1,True
spine,SJ-SPINE2,Ethernet1,l3leaf,SJ-LEAF1,Ethernet2,True
spine,SJ-SPINE2,Ethernet2,l3leaf,SJ-LEAF2,Ethernet2,True
spine,SJ-SPINE2,Ethernet3,l3leaf,SJ-LEAF3,Ethernet2,True
spine,SJ-SPINE2,Ethernet4,l3leaf,SJ-LEAF4,Ethernet2,True
spine,SJ-SPINE2,Ethernet5,l3leaf,SJ-BL1,Ethernet2,True
spine,SJ-SPINE2,Ethernet6,l3leaf,SJ-BL2,Ethernet2,True
